Campaign,Ad group,Keyword,Match type,Status
Leads-Search,Ads Group - Lead Search,手機零件,Broad,Enabled
Leads-Search,Ads Group - Lead Search,iPhone 零件,Broad,Enabled
Leads-Search,Ads Group - Lead Search,Samsung 螢幕零件,Phrase,Enabled
Leads-Search,Ads Group - Lead Search,手機電池零件,Phrase,Enabled
Leads-Search,Ads Group - Lead Search,手機後蓋玻璃,Broad,Enabled
Leads-Search,Ads Group - Lead Search,深水埗手機零件,Broad,Enabled
Leads-Search,Ads Group - Lead Search,手機零件批發,Broad,Enabled
Leads-Search,Ads Group - Lead Search,iPhone 螢幕零件,Phrase,Enabled
Leads-Search,Ads Group - Lead Search,Face ID 零件,Broad,Enabled
Leads-Search,Ads Group - Lead Search,手機螢幕總成,Broad,Enabled
Leads-Search,Ads Group - Lead Search,原裝手機零件,Broad,Enabled
Leads-Search,Ads Group - Lead Search,副廠手機零件,Broad,Enabled
Leads-Search,Ads Group - Lead Search,深水埗手機零件店,Phrase,Enabled
Leads-Search,Ads Group - Lead Search,iPad 零件,Broad,Enabled
Leads-Search,Ads Group - Lead Search,Apple Watch 零件,Broad,Enabled
Leads-Search,Ads Group - Lead Search,華為零件,Broad,Enabled
Leads-Search,Ads Group - Lead Search,小米零件,Broad,Enabled
Leads-Search,Ads Group - Lead Search,手機零件目錄,Broad,Enabled
Leads-Search,Ads Group - Lead Search,手機零件報價,Broad,Enabled
Leads-Search,Ads Group - Lead Search,手機零件門市,Phrase,Enabled
